时间,振幅,总手,金额,换手率,成交次数,,,,
"2020-03-25,三",0.0162 ,3704866 ,4015061200 ,0.29,3974 ,,,,
"2020-03-26,四",0.0270 ,3004856 ,3231754300 ,0.24,3787 ,,,,
"2020-03-27,五",0.0160 ,3626112 ,3931759400 ,0.29,3979 ,,,,
"2020-03-30,一",0.0186 ,3068741 ,3279823000 ,0.24,3977 ,,,,
"2020-03-31,二",0.0310 ,4798437 ,5293170700 ,0.38,4168 ,,,,
"2020-04-01,三",0.0234 ,3320535 ,3700184200 ,0.26,3867 ,,,,
"2020-04-02,四",0.0373 ,4520561 ,5095167600 ,0.36,4047 ,,,,
"2020-04-03,五",0.0140 ,2761761 ,3148421900 ,0.22,3768 ,,,,
"2020-04-07,二",0.0155 ,4348800 ,5041525500 ,0.35,4146 ,,,,
"2020-04-08,三",0.0123 ,2422442 ,2809422100 ,0.19,3856 ,,,,
"2020-04-09,四",0.0181 ,2281697 ,2640230500 ,0.18,3714 ,,,,
"2020-04-10,五",0.0242 ,2780434 ,3252600700 ,0.22,3646 ,,,,
"2020-04-13,一",0.0184 ,1598147 ,1854563700 ,0.13,3069 ,,,,
"2020-04-14,二",0.0220 ,3679955 ,4340858700 ,0.29,4146 ,,,,
"2020-04-15,三",0.0143 ,2933229 ,3501318300 ,0.23,4063 ,,,,
"2020-04-16,四",0.0109 ,2172774 ,2588431800 ,0.17,3718 ,,,,
"2020-04-17,五",0.0247 ,3824569 ,4676618200 ,0.3,4008 ,,,,
"2020-04-20,一",0.0120 ,2423864 ,2963483300 ,0.19,3904 ,,,,
"2020-04-21,二",0.0253 ,2922422 ,3517018500 ,0.23,3937 ,,,,
"2020-04-22,三",0.0394 ,4403473 ,5430377600 ,0.35,4142 ,,,,
"2020-04-23,四",0.0144 ,2689851 ,3377042500 ,0.21,3739 ,,,,
"2020-04-24,五",0.0197 ,1912240 ,2390444000 ,0.15,3567 ,,,,
"2020-04-27,一",0.0218 ,2590391 ,3284513300 ,0.21,3968 ,,,,
"2020-04-28,二",0.0220 ,3466190 ,4458549400 ,0.28,4082 ,,,,
"2020-04-29,三",0.0235 ,2344406 ,2976725000 ,0.19,3703 ,,,,
"2020-04-30,四",0.0205 ,2466087 ,3134408900 ,0.2,3803 ,,,,
"2020-05-06,三",0.0395 ,3583481 ,4598589800 ,0.29,4106 ,,,,
"2020-05-07,四",0.0169 ,2793474 ,3647628300 ,0.22,3939 ,,,,
"2020-05-08,五",0.0225 ,2907868 ,3839218000 ,0.23,4093 ,,,,
"2020-05-11,一",0.0162 ,2367119 ,3135991000 ,0.19,3653 ,,,,
"2020-05-12,二",0.0144 ,1972181 ,2621824700 ,0.16,3547 ,,,,
"2020-05-13,三",0.0113 ,2201431 ,2931465000 ,0.18,3560 ,,,,
"2020-05-14,四",0.0073 ,1857492 ,2467976400 ,0.15,1237 ,,,,
"2020-05-15,五",0.0238 ,2639808 ,3469736800 ,0.21,3679 ,,,,
"2020-05-18,一",0.0353 ,3436211 ,4587989700 ,0.27,3914 ,,,,
"2020-05-19,二",0.0193 ,2478746 ,3342210500 ,0.2,3453 ,,,,
"2020-05-20,三",0.0166 ,2118340 ,2859455100 ,0.17,3537 ,,,,
"2020-05-21,四",0.0141 ,2305158 ,3147105500 ,0.18,3681 ,,,,
"2020-05-22,五",0.0316 ,3442746 ,4608696100 ,0.27,4152 ,,,,
"2020-05-25,一",0.0343 ,3156100 ,4260387700 ,0.25,4132 ,,,,
"2020-05-26,二",0.0110 ,2247019 ,3056188300 ,0.18,3796 ,,,,
"2020-05-27,三",0.0199 ,2677741 ,3596654300 ,0.21,3788 ,,,,
"2020-05-28,四",0.0193 ,2648591 ,3536546900 ,0.21,3657 ,,,,
"2020-05-29,五",0.0282 ,3044435 ,4144247200 ,0.24,3965 ,,,,
"2020-06-01,一",0.0286 ,3547976 ,4986178900 ,0.28,4218 ,,,,
"2020-06-02,二",0.0150 ,2596010 ,3679210600 ,0.21,3928 ,,,,
"2020-06-03,三",0.0154 ,2355736 ,3308382800 ,0.19,3840 ,,,,
"2020-06-04,四",0.0107 ,1803741 ,2534459700 ,0.14,3198 ,,,,
"2020-06-05,五",0.0197 ,1834706 ,2597524600 ,0.15,3444 ,,,,
"2020-06-08,一",0.0232 ,2930045 ,4145298500 ,0.23,3995 ,,,,
"2020-06-09,二",0.0173 ,2261191 ,3199849700 ,0.18,3682 ,,,,
"2020-06-10,三",0.0115 ,2270074 ,3234843900 ,0.18,3667 ,,,,
"2020-06-11,四",0.0148 ,3071171 ,4314846200 ,0.24,3955 ,,,,
"2020-06-12,五",0.0236 ,2842742 ,3992323400 ,0.23,3846 ,,,,
"2020-06-15,一",0.0216 ,3461541 ,4819512200 ,0.28,4231 ,,,,
"2020-06-16,二",0.0151 ,2920664 ,4099718900 ,0.23,4148 ,,,,
"2020-06-17,三",0.0120 ,1945307 ,2730097100 ,0.15,3533 ,,,,
"2020-06-18,四",0.0093 ,2101041 ,2956800100 ,0.17,3788 ,,,,
"2020-06-19,五",0.0213 ,3895833 ,5603232700 ,0.31,4246 ,,,,
"2020-06-22,一",0.0074 ,2324700 ,3343536600 ,0.19,3670 ,,,,
"2020-06-23,二",0.0337 ,3393426 ,4963194700 ,0.27,4033 ,,,,
"2020-06-24,三",0.0140 ,2513899 ,3663537100 ,0.2,3676 ,,,,
"2020-06-29,一",0.0199 ,2808061 ,4064048200 ,0.22,3806 ,,,,
"2020-06-30,二",0.0095 ,2244614 ,3281641200 ,0.18,3621 ,,,,
"2020-07-01,三",0.0288 ,3868249 ,5759640300 ,0.31,4093 ,,,,
"2020-07-02,四",0.0374 ,4588372 ,7014289600 ,0.37,4381 ,,,,
"2020-07-03,五",0.0231 ,3512581 ,5395637000 ,0.28,4267 ,,,,
"2020-07-06,一",0.0546 ,5182196 ,8228069000 ,0.41,4579 ,,,,
"2020-07-07,二",0.0899 ,6666393 ,11219852100 ,0.53,4618 ,,,,
"2020-07-08,三",0.0350 ,5316998 ,8963189100 ,0.42,4601 ,,,,
"2020-07-09,四",0.0178 ,3503324 ,5951732800 ,0.28,4187 ,,,,
"2020-07-10,五",0.0279 ,3710044 ,6352507500 ,0.3,4298 ,,,,
"2020-07-13,一",0.0422 ,6072716 ,10679460300 ,0.48,4550 ,,,,
"2020-07-14,二",0.0189 ,4609351 ,8135834900 ,0.37,4422 ,,,,
"2020-07-15,三",0.0215 ,4071294 ,7176560600 ,0.32,4364 ,,,,
"2020-07-16,四",0.0741 ,10224219 ,16901373000 ,0.81,4688 ,,,,
"2020-07-17,五",0.0326 ,6590206 ,10863420100 ,0.52,4494 ,,,,
"2020-07-20,一",0.0456 ,4528033 ,7363823000 ,0.36,4249 ,,,,
"2020-07-21,二",0.0439 ,4196950 ,7026353200 ,0.33,4001 ,,,,
"2020-07-22,三",0.0312 ,3920121 ,6637265400 ,0.31,4060 ,,,,
"2020-07-23,四",0.0244 ,3432052 ,5739050300 ,0.27,4075 ,,,,
"2020-07-24,五",0.0483 ,7875201 ,12705941900 ,0.63,4587 ,,,,
"2020-07-27,一",0.0187 ,3878817 ,6279664400 ,0.31,4046 ,,,,
"2020-07-28,二",0.0308 ,5491152 ,9133721900 ,0.44,4440 ,,,,
"2020-07-29,三",0.0341 ,5074843 ,8411790000 ,0.4,4326 ,,,,
"2020-07-30,四",0.0180 ,3837304 ,6486855500 ,0.31,4288 ,,,,
"2020-07-31,五",0.0351 ,4068474 ,6846747300 ,0.32,4137 ,,,,
"2020-08-03,一",0.0218 ,3466114 ,5790041400 ,0.28,4173 ,,,,
"2020-08-04,二",0.0138 ,3194051 ,5337185800 ,0.25,4085 ,,,,
"2020-08-05,三",0.0178 ,2552169 ,4236612500 ,0.2,3723 ,,,,
"2020-08-06,四",0.0264 ,3264878 ,5372942600 ,0.26,4231 ,,,,
"2020-08-07,五",0.0312 ,3424205 ,5560065800 ,0.27,4204 ,,,,
"2020-08-10,一",0.0226 ,2362354 ,3857721100 ,0.19,3598 ,,,,
"2020-08-11,二",0.0162 ,3581818 ,5936904900 ,0.29,4074 ,,,,
"2020-08-12,三",0.0218 ,2793392 ,4529267500 ,0.22,3937 ,,,,
"2020-08-13,四",0.0184 ,2054134 ,3341652200 ,0.16,3479 ,,,,
"2020-08-14,五",0.0212 ,3765318 ,6230475400 ,0.3,3989 ,,,,
"2020-08-17,一",0.0207 ,4357201 ,7363610900 ,0.35,4201 ,,,,
"2020-08-18,二",0.0172 ,3042281 ,5192751800 ,0.24,4046 ,,,,
"2020-08-19,三",0.0199 ,2691498 ,4578143800 ,0.21,3911 ,,,,
"2020-08-20,四",0.0136 ,2238233 ,3727183900 ,0.18,3637 ,,,,
"2020-08-21,五",0.0162 ,2508241 ,4217048400 ,0.2,3940 ,,,,
"2020-08-24,一",0.0101 ,3093344 ,5260286500 ,0.25,3923 ,,,,
"2020-08-25,二",0.0284 ,4187249 ,7227309800 ,0.33,4255 ,,,,
"2020-08-26,三",0.0174 ,2621573 ,4530374200 ,0.21,3902 ,,,,
"2020-08-27,四",0.0168 ,2263553 ,3896759400 ,0.18,3642 ,,,,
"2020-08-28,五",0.0246 ,4229962 ,7389242300 ,0.34,4293 ,,,,
"2020-08-31,一",0.0259 ,4781036 ,8608932600 ,0.38,4350 ,,,,
"2020-09-01,二",0.0151 ,3163992 ,5661594300 ,0.25,4177 ,,,,
"2020-09-02,三",0.0322 ,3200929 ,5746351900 ,0.25,4067 ,,,,
"2020-09-03,四",0.0180 ,3043735 ,5471333900 ,0.24,4060 ,,,,
"2020-09-04,五",0.0173 ,3085796 ,5433479400 ,0.25,3978 ,,,,
"2020-09-07,一",0.0418 ,3111202 ,5446354600 ,0.25,4094 ,,,,
"2020-09-08,二",0.0352 ,3447238 ,5865962700 ,0.27,4254 ,,,,
"2020-09-09,三",0.0181 ,2596355 ,4401806100 ,0.21,3899 ,,,,
"2020-09-10,四",0.0118 ,2477833 ,4236694400 ,0.2,3823 ,,,,
"2020-09-11,五",0.0281 ,3108800 ,5339883400 ,0.25,4018 ,,,,
"2020-09-14,一",0.0222 ,3105601 ,5448189000 ,0.25,4093 ,,,,
"2020-09-15,二",0.0126 ,2082087 ,3654872000 ,0.17,3531 ,,,,
"2020-09-16,三",0.0260 ,2251598 ,3916457800 ,0.18,3605 ,,,,
"2020-09-17,四",0.0243 ,6367985 ,10683350200 ,0.51,4504 ,,,,
"2020-09-18,五",0.0359 ,4720140 ,7853673200 ,0.38,4362 ,,,,
"2020-09-21,一",0.0154 ,2244407 ,3756765100 ,0.18,3861 ,,,,
"2020-09-22,二",0.0222 ,2326547 ,3890070200 ,0.19,3730 ,,,,
"2020-09-23,三",0.0270 ,3572552 ,5878691100 ,0.28,3999 ,,,,
"2020-09-24,四",0.0194 ,3005078 ,4915392300 ,0.24,4068 ,,,,
"2020-09-25,五",0.0153 ,2258296 ,3700843500 ,0.18,3585 ,,,,
"2020-09-28,一",0.0204 ,2423222 ,4019640200 ,0.19,3764 ,,,,
"2020-09-29,二",0.0103 ,1743078 ,2895081400 ,0.14,3352 ,,,,
"2020-09-30,三",0.0193 ,2708781 ,4536012500 ,0.22,4034 ,,,,
"2020-10-09,五",0.0110 ,3423988 ,5817280600 ,0.27,4110 ,,,,
"2020-10-12,一",0.0298 ,4372904 ,7597987800 ,0.35,4229 ,,,,
"2020-10-13,二",0.0089 ,2294389 ,3995560500 ,0.18,3692 ,,,,
"2020-10-14,三",0.0121 ,2048139 ,3554316600 ,0.16,3485 ,,,,
"2020-10-15,四",0.0081 ,1620436 ,2801250600 ,0.13,3465 ,,,,
"2020-10-16,五",0.0183 ,1737738 ,2991246900 ,0.14,3504 ,,,,
"2020-10-19,一",0.0246 ,1922632 ,3284383400 ,0.15,3642 ,,,,
"2020-10-20,二",0.0235 ,2773493 ,4787807500 ,0.22,4065 ,,,,
"2020-10-21,三",0.0110 ,1890137 ,3275357400 ,0.15,3594 ,,,,
"2020-10-22,四",0.0170 ,2248087 ,3897729800 ,0.18,3564 ,,,,
"2020-10-23,五",0.0193 ,1929169 ,3339987500 ,0.15,3526 ,,,,
"2020-10-26,一",0.0367 ,6601529 ,10821908200 ,0.53,4338 ,,,,
"2020-10-27,二",0.0170 ,4394440 ,7156688300 ,0.35,4447 ,,,,
"2020-10-28,三",0.0320 ,3463653 ,5739452200 ,0.28,4316 ,,,,
"2020-10-29,四",0.0366 ,3937376 ,6633168600 ,0.31,4315 ,,,,
"2020-10-30,五",0.0185 ,2605545 ,4379602100 ,0.21,3894 ,,,,
"2020-11-02,一",0.0138 ,2106643 ,3544422200 ,0.17,3811 ,,,,
"2020-11-03,二",0.0182 ,2349749 ,3976621200 ,0.19,3730 ,,,,
"2020-11-04,三",0.0112 ,1644371 ,2788396300 ,0.13,3397 ,,,,
"2020-11-05,四",0.0120 ,2352414 ,4053043300 ,0.19,3673 ,,,,
"2020-11-06,五",0.0242 ,2305153 ,3932702400 ,0.18,3933 ,,,,
"2020-11-09,一",0.0294 ,4146970 ,7198679700 ,0.33,4270 ,,,,
"2020-11-10,二",0.0163 ,3018944 ,5287968200 ,0.24,3743 ,,,,
"2020-11-11,三",0.0266 ,3485073 ,6122365400 ,0.28,4034 ,,,,
"2020-11-12,四",0.0160 ,2347309 ,4071729800 ,0.19,3988 ,,,,
"2020-11-13,五",0.0218 ,2815548 ,4791276500 ,0.22,3995 ,,,,
"2020-11-16,一",0.0192 ,3061349 ,5247897200 ,0.24,4082 ,,,,
"2020-11-17,二",0.0239 ,2522403 ,4355288000 ,0.2,3774 ,,,,
"2020-11-18,三",0.0218 ,3517895 ,5973146800 ,0.28,24030 ,,,,
"2020-11-19,四",0.0262 ,2781576 ,4767508800 ,0.22,17916 ,,,,
"2020-11-20,五",0.0136 ,2187466 ,3771894900 ,0.17,14027 ,,,,
"2020-11-23,一",0.0226 ,6663724 ,11926870600 ,0.53,35096 ,,,,
"2020-11-24,二",0.0173 ,3246536 ,5736960200 ,0.26,20068 ,,,,
"2020-11-25,三",0.0254 ,2822632 ,4910540700 ,0.22,19154 ,,,,
"2020-11-26,四",0.0086 ,2322830 ,4027749300 ,0.18,13785 ,,,,
"2020-11-27,五",0.0127 ,2156861 ,3737698000 ,0.17,12983 ,,,,
"2020-11-30,一",0.0144 ,3194007 ,5520322200 ,0.25,19924 ,,,,
"2020-12-01,二",0.0111 ,2819620 ,4891829200 ,0.22,18018 ,,,,
"2020-12-02,三",0.0104 ,2357169 ,4101369300 ,0.19,15562 ,,,,
"2020-12-03,四",0.0136 ,2950578 ,5147357800 ,0.23,18323 ,,,,
"2020-12-04,五",0.0275 ,6249119 ,11176048800 ,0.5,32666 ,,,,
"2020-12-07,一",0.0222 ,5833133 ,10617305100 ,0.46,32136 ,,,,
"2020-12-08,二",0.0342 ,6145400 ,11333352200 ,0.49,29695 ,,,,
"2020-12-09,三",0.0146 ,3115212 ,5766037600 ,0.25,19763 ,,,,
"2020-12-10,四",0.0118 ,3265354 ,6009239900 ,0.26,19654 ,,,,
"2020-12-11,五",0.0177 ,3077579 ,5595359700 ,0.24,18342 ,,,,
"2020-12-14,一",0.0082 ,3305200 ,6026813400 ,0.26,19695 ,,,,
"2020-12-15,二",0.0176 ,2960497 ,5383582300 ,0.24,17665 ,,,,
"2020-12-16,三",0.0140 ,3215016 ,5901298300 ,0.26,18138 ,,,,
"2020-12-17,四",0.0152 ,3603064 ,6683421900 ,0.29,20370 ,,,,
"2020-12-18,五",0.0150 ,2707698 ,5020969000 ,0.22,17867 ,,,,
"2020-12-21,一",0.0074 ,3069672 ,5663526800 ,0.24,17399 ,,,,
"2020-12-22,二",0.0307 ,4065060 ,7618583400 ,0.32,24890 ,,,,
"2020-12-23,三",0.0453 ,4770609 ,8901002300 ,0.38,30733 ,,,,
"2020-12-24,四",0.0347 ,3785714 ,6921989400 ,0.3,24719 ,,,,
"2020-12-25,五",0.0257 ,2308805 ,4218997600 ,0.18,15449 ,,,,
"2020-12-28,一",0.0343 ,3008037 ,5616528700 ,0.24,22027 ,,,,
"2020-12-29,二",0.0170 ,2286759 ,4275994800 ,0.18,15052 ,,,,
"2020-12-30,三",0.0337 ,3445210 ,6604461400 ,0.27,22103 ,,,,
"2020-12-31,四",0.0310 ,3886007 ,7682300700 ,0.31,26085 ,,,,
"2021-01-04,一",0.0106 ,4351400 ,8686920300 ,0.35,29403 ,,,,
"2021-01-05,二",0.0386 ,5211605 ,10592557400 ,0.41,28864 ,,,,
"2021-01-06,三",0.0432 ,4741020 ,9882593900 ,0.38,29058 ,,,,
"2021-01-07,四",0.0310 ,3793139 ,7991178800 ,0.3,24997 ,,,,
"2021-01-08,五",0.0411 ,5386164 ,11345202900 ,0.43,36488 ,,,,
"2021-01-11,一",0.0440 ,5107990 ,10768565400 ,0.41,33084 ,,,,
"2021-01-12,二",0.0361 ,4105859 ,8800558300 ,0.33,25177 ,,,,
"2021-01-13,三",0.0177 ,3438993 ,7418330900 ,0.27,23354 ,,,,
"2021-01-14,四",0.0217 ,3615220 ,7722089700 ,0.29,22278 ,,,,
"2021-01-15,五",0.0494 ,5950939 ,12372103200 ,0.47,37559 ,,,,
"2021-01-18,一",0.0246 ,3914404 ,8076715800 ,0.31,30942 ,,,,
"2021-01-19,二",0.0434 ,4634519 ,9479278500 ,0.37,31896 ,,,,
"2021-01-20,三",0.0363 ,4508242 ,9126453300 ,0.36,30160 ,,,,
"2021-01-21,四",0.0240 ,3831017 ,7953456000 ,0.3,23190 ,,,,
"2021-01-22,五",0.0193 ,2924761 ,6090260400 ,0.23,21617 ,,,,
"2021-01-25,一",0.0464 ,5595716 ,12029474600 ,0.45,35474 ,,,,
"2021-01-26,二",0.0285 ,3174746 ,6820173400 ,0.25,21365 ,,,,
"2021-01-27,三",0.0266 ,3712017 ,7809446400 ,0.3,24448 ,,,,
"2021-01-28,四",0.0238 ,3512864 ,7337084500 ,0.28,23253 ,,,,
"2021-01-29,五",0.0284 ,3370133 ,7166179300 ,0.27,25060 ,,,,
"2021-02-01,一",0.0307 ,2934059 ,6219639100 ,0.23,20001 ,,,,
"2021-02-02,二",0.0227 ,3458225 ,7372233600 ,0.28,23699 ,,,,
"2021-02-03,三",0.0272 ,3871415 ,8384049300 ,0.31,25389 ,,,,
"2021-02-04,四",0.0635 ,6385101 ,14596930000 ,0.51,39978 ,,,,
"2021-02-05,五",0.0317 ,3972906 ,9253566200 ,0.32,25754 ,,,,
"2021-02-08,一",0.0285 ,3578573 ,8420758600 ,0.28,24524 ,,,,
"2021-02-09,二",0.0449 ,3329655 ,7972930000 ,0.27,22034 ,,,,
"2021-02-10,三",0.0473 ,6137057 ,15675930000 ,0.49,35861 ,,,,
"2021-02-18,四",0.0626 ,6591232 ,16704135000 ,0.52,47621 ,,,,
"2021-02-19,五",0.0466 ,5938546 ,14525165000 ,0.47,41982 ,,,,
"2021-02-22,一",0.0719 ,7893547 ,18498777000 ,0.63,49584 ,,,,
"2021-02-23,二",0.0349 ,5745460 ,13316110800 ,0.46,36643 ,,,,
"2021-02-24,三",0.0683 ,8211578 ,18195034000 ,0.65,50569 ,,,,
"2021-02-25,四",0.0472 ,5972643 ,12982145800 ,0.48,36595 ,,,,
"2021-02-26,五",0.0524 ,6652506 ,14097015000 ,0.53,41800 ,,,,
"2021-03-01,一",0.0278 ,4491626 ,9686945500 ,0.36,28295 ,,,,
"2021-03-02,二",0.0681 ,7076450 ,14796699000 ,0.56,47411 ,,,,
"2021-03-03,三",0.0567 ,5421546 ,11366685400 ,0.43,36733 ,,,,
"2021-03-04,四",0.0401 ,6508829 ,13297304300 ,0.52,43045 ,,,,
"2021-03-05,五",0.0526 ,6377920 ,13100316000 ,0.51,43435 ,,,,
"2021-03-08,一",0.0607 ,6309959 ,12724246000 ,0.5,41439 ,,,,
"2021-03-09,二",0.0509 ,8226581 ,16100770000 ,0.65,50484 ,,,,
"2021-03-10,三",0.0170 ,5117174 ,10136910300 ,0.41,32789 ,,,,
"2021-03-11,四",0.0602 ,5676897 ,11521736400 ,0.45,36570 ,,,,
"2021-03-12,五",0.0366 ,4032251 ,8181594600 ,0.32,27653 ,,,,
"2021-03-15,一",0.0586 ,6248487 ,12459955700 ,0.5,42962 ,,,,
"2021-03-16,二",0.0278 ,3464850 ,6918600700 ,0.28,24082 ,,,,
"2021-03-17,三",0.0368 ,3137491 ,6352656500 ,0.25,22360 ,,,,
"2021-03-18,四",0.0253 ,3386488 ,6997030300 ,0.27,24447 ,,,,
"2021-03-19,五",0.0245 ,3578077 ,7211521800 ,0.28,25515 ,,,,
"2021-03-22,一",0.0351 ,3691407 ,7323391300 ,0.29,24931 ,,,,
"2021-03-23,二",0.0195 ,2744619 ,5459520700 ,0.22,20785 ,,,,
"2021-03-24,三",0.0160 ,2935739 ,5857848200 ,0.23,21346 ,,,,
"2021-03-25,四",0.0212 ,3157523 ,6216733200 ,0.25,24111 ,,,,
"2021-03-26,五",0.0325 ,5001642 ,9987629400 ,0.4,35401 ,,,,
"2021-03-29,一",0.0349 ,5699220 ,11740129400 ,0.45,38654 ,,,,
"2021-03-30,二",0.0250 ,3262697 ,6717493400 ,0.26,23755 ,,,,
"2021-03-31,三",0.0224 ,3715441 ,7489086200 ,0.3,26308 ,,,,
"2021-04-01,四",0.0227 ,2658763 ,5379775900 ,0.21,18077 ,,,,
"2021-04-02,五",0.0533 ,5202757 ,10981752700 ,0.41,34817 ,,,,
"2021-04-06,二",0.0276 ,3274177 ,6967525000 ,0.26,22593 ,,,,
"2021-04-07,三",0.0317 ,4020097 ,8317799900 ,0.32,28836 ,,,,
"2021-04-08,四",0.0170 ,2854762 ,5893307500 ,0.23,20431 ,,,,
"2021-04-09,五",0.0237 ,2880886 ,5832453800 ,0.23,20597 ,,,,
"2021-04-12,一",0.0190 ,3194307 ,6409917300 ,0.25,22619 ,,,,
"2021-04-13,二",0.0203 ,2899215 ,5883787300 ,0.23,20776 ,,,,
"2021-04-14,三",0.0158 ,2411465 ,4908790000 ,0.19,16308 ,,,,
"2021-04-15,四",0.0278 ,3436621 ,6903769500 ,0.27,24564 ,,,,
"2021-04-16,五",0.0278 ,3029370 ,6183895100 ,0.24,21053 ,,,,
"2021-04-19,一",0.0318 ,3175391 ,6610577900 ,0.25,23136 ,,,,
"2021-04-20,二",0.0283 ,2829037 ,5949670000 ,0.23,20157 ,,,,
"2021-04-21,三",0.0156 ,2614975 ,5446146000 ,0.21,18948 ,,,,
"2021-04-22,四",0.0228 ,2685002 ,5539295700 ,0.21,18764 ,,,,
"2021-04-23,五",0.0328 ,3346277 ,7002695300 ,0.27,23966 ,,,,
"2021-04-26,一",0.0291 ,3404511 ,7160836900 ,0.27,23241 ,,,,
"2021-04-27,二",0.0145 ,2210785 ,4607779000 ,0.18,15268 ,,,,
"2021-04-28,三",0.0212 ,8134295 ,16463575000 ,0.65,49925 ,,,,
"2021-04-29,四",0.0176 ,4128378 ,8370431200 ,0.33,28473 ,,,,
"2021-04-30,五",0.0159 ,3840137 ,7723747000 ,0.31,26114 ,,,,
"2021-05-06,四",0.0268 ,5354614 ,10584968900 ,0.43,37157 ,,,,
"2021-05-07,五",0.0342 ,5249339 ,10101703400 ,0.42,36039 ,,,,
"2021-05-10,一",0.0226 ,4600318 ,8677753600 ,0.37,31572 ,,,,
"2021-05-11,二",0.0493 ,4249412 ,8209251900 ,0.34,30876 ,,,,
"2021-05-12,三",0.0255 ,3269887 ,6473203300 ,0.26,22536 ,,,,
"2021-05-13,四",0.0162 ,2507751 ,4934955000 ,0.2,18949 ,,,,
"2021-05-14,五",0.0276 ,3561129 ,7150302000 ,0.28,26047 ,,,,
"2021-05-17,一",0.0299 ,4452400 ,9178510000 ,0.35,32010 ,,,,
"2021-05-18,二",0.0155 ,1750428 ,3595891700 ,0.14,13168 ,,,,
"2021-05-19,三",0.0169 ,2240972 ,4606452400 ,0.18,15730 ,,,,
"2021-05-20,四",0.0140 ,2185716 ,4500663200 ,0.17,16488 ,,,,
"2021-05-21,五",0.0208 ,2424823 ,4976601500 ,0.19,18175 ,,,,
"2021-05-24,一",0.0240 ,3254808 ,6705879400 ,0.26,21929 ,,,,
"2021-05-25,二",0.0556 ,6775695 ,14636719000 ,0.54,46552 ,,,,
"2021-05-26,三",0.0222 ,3860420 ,8558038200 ,0.31,25243 ,,,,
"2021-05-27,四",0.0536 ,4537338 ,10240369000 ,0.36,28503 ,,,,
"2021-05-28,五",0.0198 ,2580731 ,5741332000 ,0.21,17820 ,,,,
"2021-05-31,一",0.0208 ,3173900 ,6960864300 ,0.25,22926 ,,,,
"2021-06-01,二",0.0194 ,3061634 ,6832594500 ,0.24,21596 ,,,,
"2021-06-02,三",0.0249 ,2286277 ,5088908400 ,0.18,15881 ,,,,
"2021-06-03,四",0.0226 ,2345031 ,5242453000 ,0.19,16795 ,,,,
"2021-06-04,五",0.0333 ,3142219 ,7058715100 ,0.25,21562 ,,,,
"2021-06-07,一",0.0173 ,2546627 ,5756592700 ,0.2,17613 ,,,,
"2021-06-08,二",0.0523 ,4731363 ,10479943200 ,0.38,32591 ,,,,
"2021-06-09,三",0.0246 ,2550235 ,5591378800 ,0.2,18402 ,,,,
"2021-06-10,四",0.0279 ,2556663 ,5707338400 ,0.2,18458 ,,,,
"2021-06-11,五",0.0291 ,3397066 ,7513797000 ,0.27,21751 ,,,,
"2021-06-15,二",0.0279 ,2936130 ,6412821600 ,0.23,20089 ,,,,
"2021-06-16,三",0.0214 ,2759315 ,5978924500 ,0.22,19065 ,,,,
"2021-06-17,四",0.0202 ,2106753 ,4558702600 ,0.17,15349 ,,,,
"2021-06-18,五",0.0424 ,5402821 ,11329180800 ,0.43,34659 ,,,,
"2021-06-21,一",0.0238 ,3548826 ,7367986500 ,0.28,25322 ,,,,
"2021-06-22,二",0.0212 ,3322818 ,6900830600 ,0.26,24328 ,,,,
"2021-06-23,三",0.0235 ,3707901 ,7596735700 ,0.3,26053 ,,,,
"2021-06-24,四",0.0289 ,3147370 ,6452557100 ,0.25,22906 ,,,,
"2021-06-25,五",0.0321 ,3587543 ,7459680500 ,0.29,25659 ,,,,
"2021-06-28,一",0.0215 ,2745242 ,5750241200 ,0.22,19569 ,,,,
"2021-06-29,二",0.0304 ,3303063 ,6835635200 ,0.26,23140 ,,,,
"2021-06-30,三",0.0134 ,2191566 ,4511484200 ,0.17,15546 ,,,,
"2021-07-01,四",0.0381 ,3370124 ,6970730900 ,0.27,23614 ,,,,
"2021-07-02,五",0.0302 ,4627531 ,9388640200 ,0.37,35474 ,,,,
"2021-07-05,一",0.0173 ,3442095 ,6872797800 ,0.27,24977 ,,,,
"2021-07-06,二",0.0271 ,3528251 ,7015883100 ,0.28,25906 ,,,,
"2021-07-07,三",0.0148 ,2812212 ,5658210700 ,0.22,20497 ,,,,
"2021-07-08,四",0.0180 ,3551669 ,7027713800 ,0.28,26178 ,,,,
"2021-07-09,五",0.0206 ,3090790 ,6072341000 ,0.25,22773 ,,,,
"2021-07-12,一",0.0296 ,3901024 ,7658786200 ,0.31,27748 ,,,,
"2021-07-13,二",0.0207 ,2992471 ,5946287300 ,0.24,22756 ,,,,
"2021-07-14,三",0.0149 ,3077069 ,6011814900 ,0.24,22216 ,,,,
"2021-07-15,四",0.0318 ,4219005 ,8391506200 ,0.34,31724 ,,,,
"2021-07-16,五",0.0233 ,3540764 ,6958296900 ,0.28,28478 ,,,,
"2021-07-19,一",0.0230 ,3005234 ,5900348200 ,0.24,21822 ,,,,
"2021-07-20,二",0.0139 ,2347521 ,4639301000 ,0.19,16925 ,,,,
"2021-07-21,三",0.0222 ,2978013 ,5902656200 ,0.24,21954 ,,,,
"2021-07-22,四",0.0177 ,3909047 ,7619076900 ,0.31,29817 ,,,,
